cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8932559,128.6040557,211474,SPLY_LS,4.319057244275564,41,1.6672142368240932,1.7526899383983574,1.6456953248249482,1.0,1.0,1.0,1.0,1.6,1.066443726052904,7.471264367816092,14.285714285714286,7.728498118795521,1.547126436781609,2.466666666666667,1.6692920839979206,2.3468337419948377,7.145312427849419,3.666734854559227,13,100,23.786820854492852,0.0121388801887811,0.0369587712674297,0.01896600269846483
1,1,35.890437,128.6039201,73313,PIPE_LM,3.7182269888809656,64,1.373223819301848,1.862532511978097,1.5921060375824758,1.0,1.0,1.0,1.2,1.6,1.0995493903708171,17.857142857142858,17.857142857142858,8.876388814889777,2.585714285714286,2.840816326530613,1.726461522958153,4.345598302338505,44.320708637351565,6.847639329088463,50,100,22.811806370020264,0.0224773899389308,0.2292466493912691,0.03541907204774358
2,1,35.8895649,128.6026112,144002,SPLY_LS,7.155341793227471,60,1.6483778234086242,1.7326488706365502,1.6357188020933306,1.0,1.0,1.0,1.2,1.6,1.0987404978702056,7.471264367816092,16.3265306122449,7.9906891518129655,1.547126436781609,2.840816326530613,1.649258827624555,3.066153717033244,9.405768966380684,5.592771772970265,13,100,20.79212237419717,0.0158595267936686,0.0486508696901557,0.02892833235709999
3,1,35.8902294,128.6026617,37842,SPLY_LS,5.774196674566099,41,1.5474606433949352,1.7366461327857632,1.6366460141323946,1.0,1.0,1.0,1.0,1.4,1.0621620983937976,9.523809523809524,17.857142857142858,8.350705054876961,1.7523809523809524,2.840816326530613,1.7080762076647005,4.90147561708402,9.356712345911442,4.784603467216478,20,100,24.089165545392497,0.0253526375555862,0.0483971267736096,0.024748122204003832
4,2,35.8898263,128.6010129,47811,PIPE_LM,5.243801288955055,29,1.7526899383983574,1.8396988364134157,1.607386086763032,1.0,1.3,1.0258073003734696,1.4,1.6,1.214034855428473,17.857142857142858,17.857142857142858,10.965683655449505,2.585714285714286,3.9746031746031742,2.206770877669654,5.564177350837856,17.38257339502749,5.813228411185657,50,200,56.463089620878804,0.0287804291383412,0.0899104917571099,0.03006863329543719
5,1,35.8910713,128.6032933,143987,SPLY_LS,5.498747908627607,58,1.6576317590691307,1.747542778918549,1.6030860726771379,1.0,1.0,1.0,1.0,1.6,1.0636867074911354,7.471264367816092,17.857142857142858,8.777357969683782,1.547126436781609,3.3000000000000003,1.8270558923375007,4.395524493969576,13.56709127596379,5.615729176492746,13,150,32.89674834244716,0.0227356306688329,0.0701751012703589,0.029047078378949855
6,1,35.8918995,128.6034968,246389,SPLY_LS,4.771798551848591,49,1.648542094455852,1.9878165639972625,1.6609380403952254,1.0,1.0,1.0,1.0,1.6,1.0542565018202799,7.471264367816092,14.22222222222222,8.197879154313767,1.547126436781609,2.5777777777777775,1.6784860194089417,5.6124150381981055,10.042587287638728,4.142988334513432,13,80,22.636774483832834,0.0290299361643277,0.0519447806159469,0.021429400010853937
7,3,35.89056696666667,128.60295126666668,212347,SPLY_LS,5.637814287125581,56,1.7051060917180014,1.7366461327857632,1.6060970718103598,1.0,1.0,1.0,1.0,1.4,1.0205532063410776,7.471264367816092,17.857142857142858,8.454704921288645,1.547126436781609,2.840816326530613,1.6862327905085888,9.289543945694785,13.56709127596379,6.587400658226345,13,100,20.98772351081663,0.0480497015819089,0.0701751012703589,0.03407300053464281
8,1,35.8899291,128.6016472,212339,PIPE_LM,4.549724586415585,44,1.7326488706365502,1.8396988364134157,1.6523827254361632,1.0,1.0,1.0,1.2,1.6,1.0617331258232052,6.666666666666667,17.857142857142858,8.337169984814793,2.1333333333333337,2.585714285714286,1.7877102690090405,5.198572325417898,6.503592268146396,3.8262144872966317,80,80,32.099637689543606,0.0268893554246078,0.0336395058273738,0.01979090312481743
9,1,35.8906833,128.6034433,4787,PIPE_LM,3.736222570247524,61,1.6726899383983571,1.862532511978097,1.6245534353171882,1.0,1.0,1.0,1.2,1.6,1.069184497503654,6.666666666666667,17.857142857142858,8.473509311271352,2.1333333333333337,3.3000000000000003,1.7356910807893438,5.995465734703333,44.320708637351565,8.47947600472487,80,150,26.17645152193029,0.0310112467394662,0.2292466493912691,0.04385966566063908
